t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-07-25","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2000","2600","2400"
"2025-07-25","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1400","1000"
"2025-07-25","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","1400","1600","1400"
"2025-07-25","Brinjal","10337","Banglagarh","18","Assam","325","Darrang","Brinjal","800","1300","1000"
"2025-07-24","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2500","2600","2600"
"2025-07-24","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2600","2700","2700"
"2025-07-24","Brinjal","10349","Sonari","18","Assam","302","Goalpara","Brinjal","1200","1500","1500"
"2025-07-24","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1200"
"2025-07-24","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1000","1200","1000"
"2025-07-24","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","1600","2000","2000"
"2025-07-23","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","1400","1600","1600"
"2025-07-23","Brinjal","10347","Krishnai","18","Assam","302","Goalpara","Brinjal","1200","1500","1400"
"2025-07-23","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1400","1200"
"2025-07-23","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1000","1500","1000"
"2025-07-22","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1400"
"2025-07-22","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2500","2600","2600"
"2025-07-22","Brinjal","10373","Mukalmua","18","Assam","323","Nalbari","Brinjal","1400","1600","1500"
"2025-07-22","Brinjal","10375","Baginadi","18","Assam","307","Lakhimpur","Brinjal","1500","2000","1800"
"2025-07-22","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2700","2800","2800"
"2025-07-22","Brinjal","10350","Simlitola","18","Assam","302","Goalpara","Brinjal","1200","1500","1400"
"2025-07-22","Brinjal","10358","Diphu","18","Assam","314","Karbi Anglong","Brinjal","1500","2000","1500"
"2025-07-22","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","1400","1600","1400"
"2025-07-21","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2000","2500","2500"
"2025-07-21","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2000","2600","2400"
"2025-07-21","Brinjal","10374","Anand Bazar","18","Assam","307","Lakhimpur","Brinjal","1700","2200","2000"
"2025-07-21","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2700","3000","3000"
"2025-07-21","Brinjal","10345","Darangiri Banana Market","18","Assam","302","Goalpara","Brinjal","1200","1500","1500"
"2025-07-21","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1600","1400"
"2025-07-21","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","1400","1600","1600"
"2025-07-21","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1000","1500","1200"
"2025-07-19","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","1400","1600","1600"
"2025-07-19","Brinjal","10376","Ghilamara","18","Assam","307","Lakhimpur","Brinjal","1600","1800","1800"
"2025-07-19","Brinjal","10356","Mariani","18","Assam","312","Jorhat","Brinjal","2700","2800","2800"
"2025-07-19","Brinjal","10346","Jaleswar","18","Assam","302","Goalpara","Brinjal","1200","1500","1500"
"2025-07-19","Brinjal","10360","Sariahjan","18","Assam","314","Karbi Anglong","Brinjal","1400","1500","1500"
"2025-07-19","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1500"
"2025-07-19","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","1400","1600","1400"
"2025-07-19","Brinjal","10339","Tangni","18","Assam","325","Darrang","Brinjal","1000","1500","1200"
"2025-07-18","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","1800","2200","2200"
